iter	Passed	Remaining
1665	2075	4154
1666	2077	4154
1667	2080	4155
1668	2081	4153
1669	2082	4152
1670	2083	4151
1671	2085	4151
1672	2086	4150
1673	2088	4148
1674	2089	4147
1675	2091	4148
1676	2093	4148
1677	2095	4148
1678	2096	4147
1679	2097	4146
1680	2099	4145
1681	2101	4146
1682	2102	4144
1683	2104	4143
1684	2105	4141
1685	2107	4142
1686	2109	4143
1687	2111	4143
1688	2112	4141
1689	2114	4140
1690	2116	4140
1691	2117	4139
1692	2118	4137
1693	2119	4136
1694	2120	4134
1695	2122	4134
1696	2124	4135
1697	2126	4135
1698	2127	4134
1699	2129	4133
1700	2130	4132
1701	2132	4132
1702	2133	4131
1703	2134	4129
1704	2136	4128
1705	2137	4127
1706	2139	4128
1707	2142	4128
1708	2143	4127
1709	2144	4126
1710	2146	4125
1711	2148	4125
1712	2149	4124
1713	2150	4122
1714	2151	4120
1715	2152	4119
1716	2155	4121
1717	2157	4120
1718	2158	4120
1719	2159	4119
1720	2161	4118
1721	2163	4118
1722	2164	4116
1723	2165	4115
1724	2166	4113
1725	2167	4111
1726	2169	4110
1727	2171	4111
1728	2173	4112
1729	2175	4111
1730	2176	4109
1731	2177	4108
1732	2179	4107
1733	2180	4106
1734	2181	4104
1735	2182	4104
1736	2183	4102
1737	2185	4101
1738	2187	4102
1739	2189	4102
1740	2190	4100
1741	2192	4099
1742	2194	4100
1743	2196	4100
1744	2197	4098
1745	2198	4097
1746	2199	4095
